TEAM  STATUS,,,,,,,,,,,,,,,
SNo.,Team Name,Team ID,Year,Problem Statement,Category,GitHub Repo,Repo Size (KB),Languages,Total Commits,Active Days,Consistency (%),Contributors,Velocity (commits/day),Longest Streak (days),Activity Score
132,Hayagrīva,26E3246,third,Design of a Privacy-Preserving and Secure Framework for Data security of sensitive data.,University / Community Based Projects,https://github.com/Priyanshu544-alt/Hayagriva-,0,,1,1,1.5,1,1,1,3.5
133,CodeCrafters,26E3262,third,parking management system,University / Community Based Projects,https://github.com/vivek1153/parking-management-system,1,,1,1,2,1,1,1,3.5
134,NotifyLabs,26E3270,third,EduNotify – A Year-Wise Academic Notification Web Application,University / Community Based Projects,https://github.com/vrinnda007/Mini-project-2--26E3270-NotifyLabs---Edu-notify-,1,,1,1,1.7,1,1,1,3.5
135,Team 26E3373,26E3373,third,AI-Based Classroom Inspection &   Faculty Presence Reporting System,DeepTech & System-Based,,0,,1,1,3.6,1,1,1,3.5
136,MidKnight Coders,26E3103,third,"""PlacePrep"" - It’s an AI-powered platform that helps students and tech aspirants prepare for interviews by offering company-tier-based preparation (Tier 1–3), personalized question sets, resume building, and GitHub project integration—all in one place.",University / Community Based Projects,https://github.com/Abhinav0791/Placeprep-Student-Learning-Platofrom-,297,"TypeScript, JavaScript",6,0,0,1,0,0,2.9
137,girgitlog,26E3201,third,A Centralized System to Manage Lost and Found Belongings,University / Community Based Projects,https://github.com/sneha-ojha/inventory-lost-found,24,"EJS, JavaScript",3,0,0,1,0,0,2.4
138,Bro coder,26E3111,third,"Integrated Med-Tech Platform for Online Doctor Appointment, E-Prescription, Medicine Management, and Virtual Consultation",,https://github.com/Ankitsingh023/knapsack,21,,0,0,0,1,0,0,2
139,Team Shytalk,26E3146,third,Our Pharma: A Hyperlocal Medicine Delivery System with Intelligent Substitute Mapping.,Start-Up,https://github.com/Dutkarsh7/Project,15,HTML,0,0,0,1,0,0,2
140,Rohit group,26E3230,third,IoT-Enabled Classroom and Laboratory Utilization Analytics for University Decision Support,,https://github.com/Rohitkumar017/Issues-of-privileges-,0,,0,0,0,1,0,0,2
141,Sharandeep Kaur,26E3234,third,IoT-Based Smart Water Level & Quality Monitoring,,https://github.com/2401201079/sharandeep-kaur,6,R,0,0,0,1,0,0,2
142,Team Horizon,26E3250,third,Credit Risk Prediction Model,DeepTech & System-Based,https://github.com/RuchikaaJ/RuchikaaJ,1,,0,0,0,1,0,0,2
143,Astarrtech,26E3264,third,Simple Scripting Interpreter ,,https://github.com/AryanxSareen/R-project,28,R,0,0,0,1,0,0,2
144,Techmorph,26E3049,third,Sales Performance and Customer Behavior Analysis for Business Growth,Industry-Based,https://github.com/amansaif/IGNYTE_Electricals,0,,0,0,0,0,0,0,0
145,Babri Blasters,26E3059,third,Intelligent Traffic Congestion Prediction and Control System,,https://github.com/niteshyagami/Intelligent-Traffic-Congestion-Prediction-and-Control-System,0,,0,0,0,0,0,0,0
146,The BoyS,26E3061,third,AyurCare – Smart Panchakarma Solution for Community Health and Wellness,,https://github.com/GunjanJ2027/AyurCare-Smart-Panchakarma-Solution-for-Community-Health-and-Wellness,0,,0,0,0,0,0,0,0
147,Ajjjj,26E3062,third,No problem statement,,,0,,0,0,0,0,0,0,0
148,Call Break,26E3064,third,Generative AI Study Assistant with Hallucination Control (RAG + Source-Cited Answers),DeepTech & System-Based,https://github.com/Cloud-Vaishvik/GenAiProject,0,,0,0,0,0,0,0,0
149,LeMON coders,26E3071,third,IoT AI Copilot for No Code Recovery Systems,,https://github.com/debugging-vaibhav/IoT-AI-Copilot-for-No-Code-Recovery-Systems,0,,0,0,0,0,0,0,0
150,DesignARs,26E3076,third,AR for Rural Education: Bridging the gap through UX and Research,Research,https://github.com/chirahbhal312/DesignARs,0,,0,0,0,0,0,0,0
151,SpaceX,26E3080,third,AI-Powered Predictive Maintenance System for Industrial Equipment Using Sensor Data Analytics,Industry-Based,https://github.com/mitheel007/SpaceX,0,,0,0,0,0,0,0,0
152,DeepSignal,26E3081,third,AI-Powered Image Analysis and Trip Assistance App,DeepTech & System-Based,https://github.com/Vanshika24005/AI-Powered-Image-Analysis-and-Trip-Assistance-App,0,,0,0,0,0,0,0,0
153,Task Force,26E3082,third,A Real‑Time Monitoring and Predictive Framework for Hospital Bed and Oxygen Supply Management.,,https://github.com/kunj0390/New-project-for-sem-6,0,,0,0,0,0,0,0,0
154,Team Elite,26E3086,third,Smart Recruitment System,,https://github.com/Raunak0412/Minor-project-,0,,0,0,0,0,0,0,0
155,squad,26E3090,third,IoT-Based Smart Agriculture Monitoring System,Research,,0,,0,0,0,0,0,0,0
156,TechNova,26E3092,third,Smart Campus Resource Optimization System Using Data Analytics and Automation,,https://github.com/saksham998-png/Smart-Campus-Resource-Optimization-System-Using-Data-Analytics-and-Automation,0,,0,0,0,0,0,0,0
157,QuadX,26E3093,third,Smart Waste Management System using IoT,,https://github.com/Krishagg26/26E3093---QuadX,0,,0,0,0,0,0,0,0
158,Grand Rebels,26E3097,third,Ai powred code edtior,DeepTech & System-Based,https://github.com/iam-shreya/Ai_powered_code_editor,0,,0,0,0,0,0,0,0
159,Sentinal Prime,26E3099,third,Optimization of Solar Power Inverter Control for Reduced Energy Losses in Grid-Connected Systems,,,0,,0,0,0,0,0,0,0
160,Kopilot,26E3100,third,Coding Quiz Contest,,,0,,0,0,0,0,0,0,0
161,Trishul,26E3110,third,Smart Agriculture Advisory Platform for Predictive Crop Management,DeepTech & System-Based,https://github.com/Keshav-Kathuria/Sem-6-mini-project,0,,0,0,0,0,0,0,0
162,GhostBit,26E3112,third,Cloud Resource Monitoring and Cost Optimization System for Enterprises,Industry-Based,https://github.com/hiteshrao15/Minor-project,0,,0,0,0,0,0,0,0
163,BackRow_Hackers,26E3113,third,IoT-Based Smart Healthcare Monitoring System,,,0,,0,0,0,0,0,0,0
164,Skybyte,26E3114,third,Smart Energy Monitoring and Management System,,,0,,0,0,0,0,0,0,0
165,Still Bytes,26E3120,third,Aahaar-CMS,University / Community Based Projects,https://github.com/Still-Bytes/aahaar-cms,0,,0,0,0,0,0,0,0
166,Parallax,26E3124,third,StudySync - AI-Powered Intelligent Study Tracker,,https://github.com/tanuj5946/study-sync,0,,0,0,0,0,0,0,0
167,Parallax,26E3125,third,Real-Time Traffic Congestion Prediction System,,,0,,0,0,0,0,0,0,0
168,Team Rolex,26E3130,third,Real-time Coastal Water Quality Monitoring System for Enhanced Shellfish Safety,,,0,,0,0,0,0,0,0,0
169,KDMA team,26E3132,third,SECURE FILE STORAGE SYSTEM,DeepTech & System-Based,https://github.com/devesh0800/SECURE-FILE-STORAGE-SYSTEM,0,,0,0,0,0,0,0,0
170,JABS,26E3134,third,Smart Crop Protection System,,https://github.com/bhuveetasarohi/Smart-Crop-Protection-System,0,,0,0,0,0,0,0,0
171,Pairadox,26E3137,third,Transformer-Based Multimodal Surveillance System for Suspicious Activity Detection,,https://github.com/aaagairi/Projexa-Pairadox,0,,0,0,0,0,0,0,0
172,Team Ecorailytics,26E3138,third,Automated Workflow and Performance Monitoring System for Academic Institutions,,https://github.com/YASHcell129/Mini-Project,0,,0,0,0,0,0,0,0
173,TechFlux,26E3143,third,MuteVerse,University / Community Based Projects,https://github.com/AMit090912/MuteVerse,0,,0,0,0,0,0,0,0
174,PASCA,26E3144,third,Automated Vulnerability Scanning and Risk Assessment Tool for Enterprise IT Systems,,https://github.com/Aditya2322/Automated-Vulnerability-Scanning-and-Risk-Assessment-Tool,0,,0,0,0,0,0,0,0
175,AI job predictor,26E3151,third,Fake Job Predictor,,https://github.com/sameermalhotr/Fake_Job_Predictor,0,,0,0,0,0,0,0,0
176,Code Dominions,26E3153,third,AI-Powered Student Skill Gap Analysis & Learning Recommendation Platform,,https://github.com/lightningninja-01/CampusOS---Integrated-Campus-Management-And-Academic-Operations-System,0,,0,0,0,0,0,0,0
177,Git Push and Pray,26E3161,third,Design and Implementation of a Mini Secure Authentication Server,,https://github.com/deepanshunegi06/auth-server-fastapi,0,,0,0,0,0,0,0,0
178,Code crafters,26E3162,third,AI-Powered Telemedicine Platform for Rural Healthcare,,https://github.com/satyam230101/projexa-project-,0,,0,0,0,0,0,0,0
179,ZeroDay,26E3167,third,A Blockchain Solution for Authenticity Verification of Educational Certificates,,https://github.com/aryansh2031/Mini-Project,0,,0,0,0,0,0,0,0
180,ThinkCraft,26E3172,third,CampusAI – Intelligent Student Issue Analysis & Resolution System,,https://github.com/nishant600-star/CampusAI-Intelligent-Student-Issue-Analysis-Resolution-System,0,,0,0,0,0,0,0,0
181,PeakyBlinders,26E3176,third,Software-Defined Networking (SDN)-Based Traffic Engineering System,,,0,,0,0,0,0,0,0,0
182,Scodes,26E3177,third,Online Student complaint and Feedback Management System,,https://github.com/shivaniyadavx/Scodes-project,0,,0,0,0,0,0,0,0
183,InnoBytes,26E3181,third,SmartSaathi – An AI-Based Voice Companion for Elderly Healthcare and Emergency Assistance,Industry-Based,https://github.com/bhumitanwar123/Plusevaniii,0,,0,0,0,0,0,0,0
184,BVS5,26E3184,third,Real-time Predictive Maintenance System for Industrial 3D Printers,,,0,,0,0,0,0,0,0,0
185,404_Syndicate,26E3186,third,Predictive Maintenance for Autonomous Electric Buses using Real-time Sensor Data and Machine Learning,Research,,0,,0,0,0,0,0,0,0
186,Extraordinarius,26E3187,third,Classifying Types of Street Waste using Deep Learning.,,https://github.com/Gautam-Jod/Waste-Management-AI,0,,0,0,0,0,0,0,0
187,CampusLift,26E3191,third,Explainable AI Framework for Decision Support Systems,Start-Up,,0,,0,0,0,0,0,0,0
188,PredictX,26E3193,third,IoT-Based Smart Waste Bin Monitoring and Alert System,,,0,,0,0,0,0,0,0,0
189,5ac,26E3199,third,IoT-Enabled Smart Agriculture Field Monitoring System,,https://github.com/Anshuman723/Collage-project,0,,0,0,0,0,0,0,0
190,Codify,26E3202,third,UniSupport: All-in-One Academic and Student Support Portal,,https://github.com/Anjalikumari3136/PreFinal_Year_Project,0,,0,0,0,0,0,0,0
191,TitanForce,26E3206,third,Automated Invoice Processing & Verification System Using OCR & AI,,,0,,0,0,0,0,0,0,0
192,Innovex,26E3207,third,AI-Driven Dynamic Load Balancing in Cloud Computing,,https://github.com/Dhruvisonline/projexa_inovex,0,,0,0,0,0,0,0,0
193,BinaryBrains,26E3208,third,Early Disease Detection System Using Machine Learning,,https://github.com/rhydam01/BinaryBrains,0,,0,0,0,0,0,0,0
194,LogicBypass,26E3210,third,Automated Delivery Segmentation & Weakness Detection from Cricket Video Using YOLO.,,https://github.com/Vikas-478/Projexa,0,,0,0,0,0,0,0,0
195,ADARH KUMAR JHA,26E3213,third,Real-Time Chat Application Using Modern Web Technologies,University / Community Based Projects,https://github.com/jhaadarshhr5216-oss/World-atlas,0,,0,0,0,0,0,0,0
196,LocalHosts,26E3217,third,Protego: AI-Powered Threat Detection System,,https://github.com/TejSaxena-0811/LocalHosts,0,,0,0,0,0,0,0,0
197,ADSH,26E3222,third,Smart Energy Consumption Optimization System,,,0,,0,0,0,0,0,0,0
198,Cyberops,26E3223,third,Autonomous Drone with AI-Based Vision System,,,0,,0,0,0,0,0,0,0
199,Epoch Solutions,26E3224,third,Predictive Voltage Regulation for Grid-Scale Energy Storage Systems,,,0,,0,0,0,0,0,0,0
200,Coders,26E3225,third,Behavioral Pattern Analysis for Early Mental Well-Being Assessment,,,0,,0,0,0,0,0,0,0
201,Smart connect,26E3227,third,Real-Time Indoor Thermal Comfort Monitoring and Analysis Using IoT Sensors,Research,https://github.com/durgeshkr302/Real-Time-Indoor-Thermal-Comfort-Monitoring-and-Analysis-Using-IoT-Sensors,0,,0,0,0,0,0,0,0
202,Alpha Coders,26E3228,third,Smart University Academic & Analytics Management System using SAP ABAP,University / Community Based Projects,https://github.com/wi234/Minor-Project-,0,,0,0,0,0,0,0,0
203,Shiriysah,26E3232,third,Intelligent Personalized Learning Analytics Dashboard for Adaptive Online Courses,,,0,,0,0,0,0,0,0,0
204,Secure Sphere,26E3233,third,AI-Powered Student Support and Academic Query System,University / Community Based Projects,https://github.com/Imnotshivam811/shivam,0,,0,0,0,0,0,0,0
205,Tech Titans,26E3236,third,Smart Canteen Management System,,https://github.com/Dipanshuohlyan84/Smart-canteen-management-,0,,0,0,0,0,0,0,0
206,Project ggn,26E3237,third,Precision Irrigation System for Greenhouse Crops using Real-time Weather Forecasting and Machine Learning,,,0,,0,0,0,0,0,0,0
207,TechNova,26E3239,third,"Colleges struggle to track internships, issues faced by students, and progress reports.",,https://github.com/yashvi26sahu/Internship-Tracker,0,,0,0,0,0,0,0,0
208,Galaxy girls,26E3245,third,Real-time Predictive Maintenance for CNC Machining Centers using Edge AI and IoT Sensors,,,0,,0,0,0,0,0,0,0
209,BrainX,26E3247,third,Proctored Course with 4 Modules,,https://github.com/Aaru1824/Mini-Project-Projexa-Ai-,0,,0,0,0,0,0,0,0
210,Digital Drift,26E3248,third,ZipTask – A Hyperlocal Errand Marketplace,Industry-Based,https://github.com/Muskanxydv/ZipTask,0,,0,0,0,0,0,0,0
211,Wildfire,26E3249,third,Develop an AI-driven platform to identify skill gaps in students and recommend personalized learning,University / Community Based Projects,,0,,0,0,0,0,0,0,0
212,TechHives,26E3251,third,Student Mental Health Early Warning System,Research,https://github.com/Kanaks2006/Student-Mental-Health-Early-Warning-System,0,,0,0,0,0,0,0,0
213,Matrixx,26E3252,third,Tech-Enabled Waste Segregation Management System to Reduce Urban Landfill Burden,,,0,,0,0,0,0,0,0,0
214,ProjectTeam,26E3256,third,DATA INSIGHT HUB,IoT-Enabled Projects,,0,,0,0,0,0,0,0,0
215,KP Team,26E3257,third,Measuring Pedagogical Alignment in Learning Apps Using Evidence-Based Learning Theories,Research,https://github.com/himanshitanwar972/pedagogy-alignment,0,,0,0,0,0,0,0,0
216,Anjaneyyy,26E3258,third,Energy-Aware RSSI–Fingerprinting Based Indoor Localization Using Sparse Anchors,,,0,,0,0,0,0,0,0,0
217,DTreeium,26E3259,third,Air Quality Prediction System Using Machine Learning,,,0,,0,0,0,0,0,0,0
218,Hacker,26E3260,third,Real-Time OCR System for Video-Based Text Recognition in Traffic and Surveillance,,,0,,0,0,0,0,0,0,0
219,Code Crafters,26E3263,third,Intelligent Energy Theft Detection Using AIoT,,,0,,0,0,0,0,0,0,0
220,MOD,26E3265,third,Parking Management system,DeepTech & System-Based,https://github.com/kundansingh2005/rishavkumar,0,,0,0,0,0,0,0,0
221,404 Error Not Found,26E3266,third,Design and Development of a Multimodal (Voice + Text) Intelligent Academic Chatbot for the School of,,,0,,0,0,0,0,0,0,0
222,BugThugs,26E3268,third,Lightweight IoT Data Integrity Assurance Using Cryptographic Hashing,,,0,,0,0,0,0,0,0,0
223,codeENDhop,26E3269,third,Smart Secure Two-Wheeler Parking Management System for University Campus,,,0,,0,0,0,0,0,0,0
224,Clinical Intelligence Group,26E3272,third,AI-Based Early Risk Detection Using Clinical Data,,https://github.com/assistansirit2255/AI-Based-Early-Risk-Detection-Using-Clinical-Data,0,,0,0,0,0,0,0,0
225,Projexa labs,26E3273,third,Design and Development of a Campus Placement Management System,University / Community Based Projects,https://github.com/Sonu-jha69/Sonu-jha69,0,,0,0,0,0,0,0,0
226,Project 2,26E3274,third,Problem 2: Design and Development of an Integrated Digital Website & Academic Management Platform fo,,https://github.com/ayushvermadm1-cmd/Project-2,0,,0,0,0,0,0,0,0
227,Team 26E3312,26E3312,third,IoT-Enabled Air Quality Monitoring System,,,0,,0,0,0,0,0,0,0
228,Team 26E3313,26E3313,third,Prevent machine failure using sensor analytics.,,,0,,0,0,0,0,0,0,0
229,Team 26E3314,26E3314,third,Real-time Anomaly Detection and Classification in Medical Imaging Data using Deep Learning and Feature Engineering,Research,https://github.com/Sidharth-ydv/Project,0,,0,0,0,0,0,0,0
230,Team 26E3315,26E3315,third,Trust-Aware IoT Monitoring System Using Lightweight AI,,,0,,0,0,0,0,0,0,0
231,Team 26E3316,26E3316,third,Dynamic Route Optimization for Autonomous Waste Collection Vehicles,,https://github.com/mukultanwar07/College-Project,0,,0,0,0,0,0,0,0
232,Team 26E3317,26E3317,third,Smart Workplace Energy Monitoring and Control System,,,0,,0,0,0,0,0,0,0
233,Team 26E3318,26E3318,third,Design and develop a role-based NAAC Accreditation Automation System that enables university schools,,,0,,0,0,0,0,0,0,0
234,Team 26E3319,26E3319,third,Smart IV Infusion Pump for Neonatal Care: Real-time Monitoring and Prediction of Medication Adherence,,,0,,0,0,0,0,0,0,0
235,Team 26E3320,26E3320,third,Vision-Based Smart Warehouse Inventory Monitoring System,,,0,,0,0,0,0,0,0,0
236,Team 26E3322,26E3322,third,Employee Task & Work Visibility Management Platform,,,0,,0,0,0,0,0,0,0
237,Team 26E3323,26E3323,third,Implementation of a Distributed File System Using Client-Server Architecture,,,0,,0,0,0,0,0,0,0
238,Team 26E3324,26E3324,third,Automated Examination Duty Allocation and Management System,,,0,,0,0,0,0,0,0,0
239,Team 26E3325,26E3325,third,Automated Invoice Processing & Reconciliation System Using AI,,,0,,0,0,0,0,0,0,0
240,Team 26E3326,26E3326,third,Design and Deployment of an Internal University GPT for Academic & Administrative Query Handling,,,0,,0,0,0,0,0,0,0
241,Team 26E3327,26E3327,third,Development of an Educational App Certification Model Based on Learning Sciences,,,0,,0,0,0,0,0,0,0
242,Team 26E3328,26E3328,third,Decentralized Digital Identity Verification System,,,0,,0,0,0,0,0,0,0
243,Team 26E3329,26E3329,third,Real-time Flood Risk Assessment and Early Warning System for Coastal Cities using IoT Sensors and Machine Learning,,,0,,0,0,0,0,0,0,0
244,Team 26E3330,26E3330,third,IoT-Based Intelligent Traffic Monitoring and Congestion Prediction System,,,0,,0,0,0,0,0,0,0
